Prescribed_for,DrugName_list,Disease,Symptoms,Symptoms_Length,Number_of_Drugs,Preprocessed_Symptoms
Mycoplasma Pneumonia,"Azithromycin,Clarithromycin",Mycoplasma pneumonia,"['M. pneumoniae is known to cause a host of symptoms such as primary atypical pneumonia ', 'tracheobronchitis ', 'and upper respiratory tract disease . Primary atypical pneumonia is one of the most severe types of manifestation', 'with tracheobronchitis being the most common symptom and another 15% of cases', 'usually adults', 'remain asymptomatic. Symptomatic infections tend to develop over a period of several days and manifestation of pneumonia can be confused with a number of other bacterial pathogens and conditions that cause pneumonia. Tracheobronchitis is most common in children due to a reduced immune system capacity', 'and up to 18% of infected children require hospitalization . Common mild symptoms include sore throat ', 'wheezing and coughing ', 'fever ', 'headache ', 'rhinitis ', 'myalgia and feelings of unease ', 'in which symptom intensity and duration can be limited by early treatment with antibiotics . Rarely', 'M. pneumoniae pneumonia results in death due to lesions and ulceration of the epithelial lining', 'pulmonary edema ', 'and bronchiolitis obliterans . Extrapulmonary symptoms such as autoimmune responses', 'central nervous system complications', 'and dermatological disorders have been associated with M. pneumoniae infections in up to 25% of cases.']",1291,2,pneumoniae known cause host symptom primary atypical pneumonia tracheobronchitis upper respiratory tract disease primary atypical pneumonia one severe type manifestation tracheobronchitis common symptom another 15 case usually adult remain asymptomatic symptomatic infection tend develop period several day manifestation pneumonia confused number bacterial pathogen condition cause pneumonia tracheobronchitis common child due reduced immune system capacity 18 infected child require hospitalization common mild symptom include sore throat wheezing coughing fever headache rhinitis myalgia feeling unease symptom intensity duration limited early treatment antibiotic rarely pneumoniae pneumonia result death due lesion ulceration epithelial lining pulmonary edema bronchiolitis obliterans extrapulmonary symptom autoimmune response central nervous system complication dermatological disorder associated pneumoniae infection 25 case
Myelodysplastic Syndrome,"Azacitidine,Vidaza",Myelodysplastic syndrome,"None, feeling tired , shortness of breath , easy bleeding , frequent infections",79,2,none feeling tired shortness breath easy bleeding frequent infection
Myelofibrosis,Jakafi,Primary myelofibrosis,"['The primary feature of primary myelofibrosis is bone marrow fibrosis', 'but it is often accompanied by:']",107,1,primary feature primary myelofibrosis bone marrow fibrosis often accompanied
Myeloproliferative Disorders,Gleevec,Primary myelofibrosis,"['The primary feature of primary myelofibrosis is bone marrow fibrosis', 'but it is often accompanied by:']",107,1,primary feature primary myelofibrosis bone marrow fibrosis often accompanied
Myotonia Congenita,Mexiletine,Myotonia congenita,"Delayed relaxation of muscles, falls, difficulty swallowing",59,1,delayed relaxation muscle fall difficulty swallowing
NSAID-Induced Gastric Ulce,"Esomeprazole,Lansoprazole,Nexium",,nan,3,3,nan
Narcolepsy,"Nuvigil,Sodium oxybate,Methylphenidate,Ritalin,Adderall XR,Provigil,Dextrostat,Modafinil,Armodafinil,Xyrem,Amphetamine / dextroamphetamine,Ephedrine,Dexedrine,Adderall,Methylin,Lisdexamfetamine,Desvenlafaxine,Dextroamphetamine,Vyvanse",Narcolepsy,"Excessive daytime sleepiness , involuntary sleep episodes, sudden loss of muscle strength , hallucinations",106,19,excessive daytime sleepiness involuntary sleep episode sudden loss muscle strength hallucination
Nasal Carriage of Staphylococcus aureus,Bactroban,Methicillin-resistant Staphylococcus aureus,"['In humans', 'Staphylococcus aureus is part of the normal microbiota present in the upper respiratory tract', 'and on skin and in the gut mucosa. However', 'along with similar bacterial species that can colonize and act symbiotically', 'they can cause disease if they begin to take over the tissues they have colonized or invade other tissues; the resultant infection has been called a ""pathobiont"".']",402,1,human staphylococcus aureus part normal microbiota present upper respiratory tract skin gut mucosa however along similar bacterial specie colonize act symbiotically cause disease begin take tissue colonized invade tissue resultant infection called pathobiont
Nasal Congestion,"Pseudoephedrine,Xylometazoline,Claritin-D,Oxymetazoline,Eyebright,Sudafed PE Congestion,Afrin,Chlorcyclizine / phenylephrine,Dexbrompheniramine / pseudoephedrine,Phenylephrine,Nexafed Nasal Decongestant,Privine,Naphazoline,Vicks Sinex Nasal Spray (old formulation),Drixoral Cold and Allergy,Dallergy,Drixoral Decongestant Non-Drowsy,Loratadine / pseudoephedrine,Norel SR,Neo-Synephrine Nasal,Afrin 4 Hour Extra Moisturizing,Nostrilla,Children's Dimetapp Decongestant Infant,Vicks Sinex 12-Hour Decongestant Nasal Spray",Rhinitis medicamentosa,Nasal congestion,16,24,nasal congestion
Nasal Polyps,"Fluticasone,Veramyst,Mometasone",Nasal polyp,"Trouble breathing through the nose, loss of smell , decreased taste, post nasal drip , runny nose",97,3,trouble breathing nose loss smell decreased taste post nasal drip runny nose
Nausea/Vomiting,"Promethazine,Zofran,Ondansetron,Phenergan,Metoclopramide,Phosphorated carbohydrate solution,Emetrol,Transderm-Scop,Prochlorperazine,Reglan,Compazine,Scopolamine,Zofran ODT,Vistaril,Dimenhydrinate,Diphenhydramine,Lorazepam,Haldol,Ativan,Dramamine,Trimethobenzamide,Benadryl,Ginger,Atarax,Cyclizine",Vomiting,Nausea,6,25,nausea
Nausea/Vomiting of Pregnancy,"Diclegis,Doxylamine / pyridoxine",Morning sickness,"Nausea , vomiting",17,2,nausea vomiting
"Nausea/Vomiting, Chemotherapy Induced","Aprepitant,Lorazepam,Ondansetron,Sancuso,Dronabinol,Emend,Marinol,Dexamethasone",Vomiting,Nausea,6,8,nausea
"Nausea/Vomiting, Postoperative",Ondansetron,Vomiting,Nausea,6,1,nausea
Neck Pain,Naproxen,Neck-tongue syndrome,"Neck pain , occipital neuralgia , numbness or tingling in the tongue.",69,1,neck pain occipital neuralgia numbness tingling tongue
Nephrotic Syndrome,Prednisone,Nephrotic syndrome,"Swelling , weight gain, feeling tired, foamy urine",50,1,swelling weight gain feeling tired foamy urine
Neuralgia,"Lyrica,Pregabalin,Nortriptyline,Methylprednisolone,Baclofen",Trigeminal neuralgia,"Typical : episodes of severe, sudden, shock-like pain in one side of the face that lasts for seconds to minutes Atypical : constant burning pain",144,5,typical episode severe sudden shocklike pain one side face last second minute atypical constant burning pain
Neuropathic Pain,"Pregabalin,Lyrica,Gabapentin,Lidocaine",Peripheral neuropathy,"Shooting pain , numbness , tingling, tremors, bladder problems, unsteadiness",76,4,shooting pain numbness tingling tremor bladder problem unsteadiness
Neutropenia,Neupogen,Neutropenia,"['Signs and symptoms of neutropenia include fever ', 'painful swallowing ', 'gingival pain', 'skin abscesses ', 'and otitis . These symptoms may exist because individuals with neutropenia often have infection .']",212,1,sign symptom neutropenia include fever painful swallowing gingival pain skin abscess otitis symptom may exist individual neutropenia often infection
Neutropenia Associated with Chemotherapy,"Pegfilgrastim,Neulasta",Neutropenia,"['Signs and symptoms of neutropenia include fever ', 'painful swallowing ', 'gingival pain', 'skin abscesses ', 'and otitis . These symptoms may exist because individuals with neutropenia often have infection .']",212,2,sign symptom neutropenia include fever painful swallowing gingival pain skin abscess otitis symptom may exist individual neutropenia often infection
New Daily Persistent Headache,"Keppra,Sumatriptan",New daily persistent headache,['The headaches can vary greatly in their clinical presentation and duration.'],79,2,headache vary greatly clinical presentation duration
Night Terrors,"Clonazepam,Valium",Night terror,"feelings of panic or dread, sudden motor activity, thrashing, sweating, rapid breathing, increased heart rate",109,2,feeling panic dread sudden motor activity thrashing sweating rapid breathing increased heart rate
Nightmares,Prazosin,Nightmare,"['Those with nightmares experience abnormal sleep architecture. The impact of having a nightmare during the night has been found to be very similar to that of insomnia . This is thought to be caused by frequent nocturnal awakenings and fear of falling asleep. Nightmare disorder symptoms include repeated awakenings from the major sleep period or naps with detailed recall of extended and extremely frightening dreams', 'usually involving threats to survival', 'security', 'or self-esteem. The awakenings generally occur during the second half of the sleep period.']",566,1,nightmare experience abnormal sleep architecture impact nightmare night found similar insomnia thought caused frequent nocturnal awakening fear falling asleep nightmare disorder symptom include repeated awakening major sleep period nap detailed recall extended extremely frightening dream usually involving threat survival security selfesteem awakening generally occur second half sleep period
Nocturnal Leg Cramps,"Carisoprodol,Quinine,Verapamil",Cramp,sudden muscle pain and a paralysis-like immobility,50,3,sudden muscle pain paralysislike immobility
Non-Hodgkin's Lymphoma,"Rituxan,Rituximab",Non-Hodgkin lymphoma,"Enlarged lymph nodes , fever , night sweats , weight loss , tiredness , itching",79,2,enlarged lymph node fever night sweat weight loss tiredness itching
Non-Small Cell Lung Cance,"Gefitinib,Tarceva,Nivolumab,Erlotinib,Paclitaxel,Xalkori,Crizotinib,Iressa,Pemetrexed,Opdivo,Ceritinib",Acute lymphoblastic leukemia,"Feeling tired, pale color, fever, easy bleeding or bruising, bone pain, enlarged lymph nodes",92,11,feeling tired pale color fever easy bleeding bruising bone pain enlarged lymph node
Noninfectious Colitis,Dicyclomine,Arthropathy,"['Joint pain is a common but non-specific sign of joint disease. Signs will depend on the specific disease', 'and may even then vary. Common signs may include:']",161,1,joint pain common nonspecific sign joint disease sign depend specific disease may even vary common sign may include
Nonoccupational Exposure,Sustiva,HIV/AIDS,"Early : Flu-like illness Later : Large lymph nodes , fever, weight loss",71,1,early flulike illness later large lymph node fever weight loss
Obesity,"Phentermine,Phentermine / topiramate,Orlistat,Contrave,Qsymia,Bupropion / naltrexone,Lorcaserin,Liraglutide,Belviq,Saxenda,Adipex-P,Phendimetrazine,Topamax,Meridia,Tenuate Dospan,Tenuate,Alli,Xenical,Topiramate,Phendiet,Diethylpropion,Lomaira,Bontril Slow Release,Victoza,Wellbutrin SR,Pristiq,Desoxyn,Benzphetamine,Chorionic gonadotropin (hcg),Adipost,Methamphetamine,Bupropion,Didrex,Wellbutrin XL,Zantryl,Fastin",Obesity,Increased fat,13,36,increased fat
Obsessive Compulsive Disorde,"Zoloft,Sertraline,Quetiapine,Fluvoxamine,Prozac,Abilify,Mirtazapine,Anafranil,Fluoxetine,Luvox,Clomipramine,Aripiprazole,Escitalopram,Lexapro,Venlafaxine,Citalopram,Effexor XR,Olanzapine,Paroxetine,Effexor,Paxil,Seroquel,Seroquel XR",,nan,3,23,nan
Obstructive Sleep Apnea/Hypopnea Syndrome,"Armodafinil,Modafinil,Nuvigil,Provigil",Obstructive sleep apnea,"['Common symptoms of OSA syndrome include unexplained daytime sleepiness', 'restless sleep', 'and loud snoring (with periods of silence followed by gasps). Less common symptoms are morning headaches ; insomnia ; trouble concentrating; mood changes such as irritability ', 'anxiety ', 'and depression ; forgetfulness; increased heart rate or blood pressure ; decreased sex drive; unexplained weight gain; increased urinary frequency or nocturia ; frequent heartburn or gastroesophageal reflux ; and heavy night sweats.']",519,4,common symptom osa syndrome include unexplained daytime sleepiness restless sleep loud snoring period silence followed gasp le common symptom morning headache insomnia trouble concentrating mood change irritability anxiety depression forgetfulness increased heart rate blood pressure decreased sex drive unexplained weight gain increased urinary frequency nocturia frequent heartburn gastroesophageal reflux heavy night sweat
